Month,Exp_CashFlow,DF_Base,PV_Base,DF_Low,PV_Low,DF_High,PV_High
1.0,4999.248457186011,0.9943776442295407,4971.140903774792,0.995942407351067,4978.963543395944,0.992844250484193,4963.475087459104
2.0,4999.248457186011,0.9887868993434908,4943.191381028687,0.9919012787602387,4958.760937522955,0.9857397057195191,4927.957703005299
3.0,4999.248457186011,0.9832275876142123,4915.399000443074,0.9878765474230741,4938.640305595047,0.9786859992976047,4892.6944720581005
4.0,4999.248457186011,0.9776995323133147,4887.762878508824,0.9838681468061967,4918.601314995339,0.9716827674320039,4857.683575958679
5.0,4999.248457186011,0.9722025577060375,4860.282136684202,0.9798760106461968,4898.643634456583,0.9647296489394341,4822.923209062068
6.0,4999.248457186011,0.9667364890456636,4832.955901366955,0.9759000729485329,4878.766934055669,0.9578262852211513,4788.411578644049
7.0,4999.248457186011,0.9613011525679641,4805.783303866529,0.9719402679864438,4858.970885208188,0.9509723202444527,4754.146904808682
8.0,4999.248457186011,0.9558963754856743,4778.763480376458,0.9679965302998599,4839.255160662987,0.9441674005243176,4720.127420396521
9.0,4999.248457186011,0.9505219859830013,4751.895571946903,0.9640687946943227,4819.619434496771,0.937411175105175,4686.351370893472
10.0,4999.248457186011,0.9451778132101611,4725.178724457346,0.9601569962399052,4800.063382108701,0.9307032955428041,4652.8170143402995
11.0,4999.248457186011,0.939863687277949,4698.6120885894425,0.9562610702701407,4780.586680215045,0.9240434158863637,4619.522621242796
12.0,4999.248457186011,0.9345794392523364,4672.194819800011,0.9523809523809518,4761.189006843817,0.9174311926605502,4586.466474482578
13.0,4999.248457186011,0.9293249011491034,4645.926078294197,0.948516578429587,4741.870041329467,0.9108662848478832,4553.646869228534
14.0,4999.248457186011,0.9240999059284962,4619.805028998773,0.9446678845335602,4722.629464307574,0.9043483538711181,4521.0621128488965
15.0,4999.248457186011,0.918904287489918,4593.830841535584,0.9408348070695938,4703.466957709566,0.897877063575784,4488.710524823944
16.0,4999.248457186011,0.9137378806666494,4568.002690195162,0.9370172826725678,4684.382204757463,0.8914520802128473,4456.590436659337
17.0,4999.248457186011,0.9086005212205958,4542.319753910469,0.9332152482344724,4665.374889958647,0.885073072421499,4424.7001918000615
18.0,4999.248457186011,0.9034920458370689,4516.7812162308,0.9294286409033642,4646.444699100634,0.8787397112120651,4393.038145544998
19.0,4999.248457186011,0.8984122921195927,4491.386265295822,0.9256573980823268,4627.59131924589,0.8724516699490389,4361.602664962092
20.0,4999.248457186011,0.8933610985847424,4466.134093809774,0.9219014574284377,4608.814438726652,0.8662086243342361,4330.3921288041465
21.0,4999.248457186011,0.8883383046570106,4441.023899015797,0.9181607568517354,4590.113747139779,0.8600102523900687,4299.404927425203
22.0,4999.248457186011,0.8833437506637021,4416.054882670417,0.914435234514195,4571.488935341617,0.8538562344429393,4268.639462697522
23.0,4999.248457186011,0.8783772778298587,4391.22625101817,0.9107248288287049,4552.939695442897,0.8477462531067554,4238.094147929169
24.0,4999.248457186011,0.8734387282732118,4366.537214766366,0.9070294784580487,4534.465720803632,0.8416799932665595,4207.76740778218
25.0,4999.248457186011,0.8685279449991621,4341.9869890599975,0.9033491223138919,4516.066706028061,0.8356571420622779,4177.6576781913145
26.0,4999.248457186011,0.8636447718957908,4317.574793456797,0.899683699555771,4497.7423469595915,0.8296773888725851,4147.7634062833895
27.0,4999.248457186011,0.8587890537288955,4293.299851902415,0.8960331495900886,4479.492340675773,0.8237404252988841,4118.083050297196
28.0,4999.248457186011,0.8539606361370555,4269.16139270576,0.8923974120691115,4461.316385483295,0.8178459451494009,4088.6150795039775
29.0,4999.248457186011,0.8491593656267251,4245.158648514458,0.8887764268899732,4443.214180912994,0.8119936444233934,4059.357974128496
30.0,4999.248457186011,0.844385089567354,4221.290856290467,0.8851701341936795,4425.185427714887,0.8061832212954724,4030.310225270639
